log,,,M1,,,,,M2,,,,,M3,,,,,M4,,,,,M5,,,,
Region,Capitolo,31/12/2019,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,
11-Torino NE,BNI Florida,39,37,0,2,0,CHAPTER,37,0,0,0,CHAPTER,37,0,0,0,CHAPTER,37,0,0,0,CHAPTER,37,0,0,0,CHAPTER
11-Torino NE,BNI Brooklyn,32,32,0,0,0,CHAPTER,34,2,0,0,CHAPTER,34,0,0,0,CHAPTER,34,2,2,0,CHAPTER,34,0,0,0,CHAPTER
11-Torino NE,BNI Cit Turin,27,27,0,0,0,CHAPTER,26,0,1,0,CHAPTER,26,0,0,0,CHAPTER,26,0,0,0,CHAPTER,28,2,0,0,CHAPTER
11-Torino NE,BNI Dallas,27,24,0,3,0,CHAPTER,25,1,0,0,CHAPTER,25,0,0,0,CHAPTER,23,0,2,0,CHAPTER,24,1,0,0,CHAPTER
11-Torino NE,BNI Eporedia,34,34,0,0,0,CHAPTER,35,1,0,0,CHAPTER,35,1,1,0,CHAPTER,35,0,0,0,CHAPTER,34,0,1,0,CHAPTER
11-Torino NE,BNI Florida,30,30,0,0,0,CHAPTER,32,2,0,0,CHAPTER,33,1,0,0,CHAPTER,34,2,1,0,CHAPTER,31,0,3,0,CHAPTER
11-Torino NE,BNI Hollywood,47,47,1,1,0,CHAPTER,46,0,1,0,CHAPTER,46,1,1,0,CHAPTER,38,2,10,0,CHAPTER,37,1,2,0,CHAPTER
11-Torino NE,BNI La Mole,33,34,1,0,0,CHAPTER,34,1,0,0,CHAPTER,31,0,3,0,CHAPTER,30,1,2,0,CHAPTER,30,1,1,0,CHAPTER
11-Torino NE,BNI La Reggia,37,36,0,1,0,CHAPTER,35,0,2,0,CHAPTER,35,0,0,0,CHAPTER,34,0,1,0,CHAPTER,34,0,0,0,CHAPTER
11-Torino NE,BNI Las Vegas,24,21,0,3,0,CHAPTER,22,1,0,0,CHAPTER,22,0,0,0,CHAPTER,21,0,1,0,CHAPTER,20,0,1,0,CHAPTER
11-Torino NE,BNI Manhattan,32,33,1,0,0,CHAPTER,32,0,1,0,CHAPTER,33,1,0,0,CHAPTER,32,0,1,0,CHAPTER,32,0,0,0,CHAPTER
11-Torino NE,BNI Mozart,29,29,0,0,0,CHAPTER,29,0,0,0,CHAPTER,29,0,0,0,CHAPTER,30,1,0,0,CHAPTER,31,1,0,0,CHAPTER
11-Torino NE,BNI Oltrepo,47,47,0,0,0,CHAPTER,47,0,0,0,CHAPTER,45,0,2,0,CHAPTER,43,0,2,0,CHAPTER,43,1,1,0,CHAPTER
11-Torino NE,BNI Pegaso,33,34,1,0,0,CHAPTER,35,1,0,0,CHAPTER,33,0,2,0,CHAPTER,29,0,4,0,CHAPTER,29,1,1,0,CHAPTER
