"ID","Id_Region","Id_Cap","Nome","Id_Director","Stato","DataCore","DataCap","ConfDataCore","ConfDataCap","MembriIni","appT2","appT3","appT4","appR","MemLancio","MemLancioRes"
"1","1","1","BNI - EMPOLI","2","CAPITOLO","2016-04","2017-04","1","1","30","a","n","n","a","0","0"
"2","1","2","BNI - FIRENZE","1","CAPITOLO","2015-10","2016-04","1","1","33","a","n","n","a","0","0"
"3","1","3","BNI - CASTELFIORENTINO","2","CAPITOLO","2017-03","2019-07","1","1","23","a","n","n","a","23","23"
"4","1","4","BNI - GRANDUCATO","1","CAPITOLO","2018-04","2019-07","1","1","10","a","n","n","a","23","23"
"5","1","5","BNI - VALDELSA","2","CAPITOLO","2017-01","2018-06","1","1","37","a","n","n","a","0","0"
"6","1","6","BNI - SIGNORIA","2","CAPITOLO","2018-07","2018-12","1","1","27","a","n","n","a","0","0"
"7","1","7","BNI - IN CHIANTI","2","CAPITOLO","2018-05","2018-09","1","1","18","a","n","n","a","0","0"
"8","1","8","BNI - MAGNIFICO","3","CAPITOLO","2017-03","2018-10","1","1","19","a","n","n","a","0","0"
"9","1","9","BNI - CICLONE","2","CAPITOLO","2017-02","2018-04","1","1","25","a","n","n","a","0","0"
"10","1","10","BNI - AREZZO","2","CAPITOLO","2019-02","2019-12","1","1","0","a","n","n","a","18","18"
"11","1","11","BNI - CUOIO","3","CAPITOLO","2018-01","2019-11","1","1","10","a","n","n","a","24","24"
"13","2","1","BNI - RELACTIONSHIP","198","CAPITOLO","2018-11","2018-12","1","1","21","a","n","n","a","0","0"
"14","2","2","BNI - CARROCCIO","206","CAPITOLO","2018-11","2018-12","1","1","25","a","n","n","a","0","0"
"15","2","3","BNI - CENTRALE","197","CAPITOLO","2018-11","2018-12","1","1","30","a","n","n","a","0","0"
"16","2","4","BNI - CERTOSA","194","CAPITOLO","2018-11","2018-12","1","1","20","a","n","n","a","0","0"
"17","2","5","BNI - CHALLENGE","197","CAPITOLO","2018-11","2018-12","1","1","25","a","n","n","a","0","0"
"18","2","6","BNI - COMMUNION","202","CAPITOLO","2018-11","2018-12","1","1","32","a","n","n","a","0","0"
"19","2","7","BNI - FA-RHO BUSINESS","8","CHIUSO","2018-11","2018-12","1","1","29","n","n","n","a","0","0"
"20","2","8","BNI - HAPPY HOUR","198","CAPITOLO","2018-11","2018-12","1","1","18","a","n","n","a","0","0"
"21","2","9","BNI - L'ARESINO","8","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"22","2","10","BNI - LE CONTRADE","205","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"23","2","11","BNI - MAGGIOLINI","192","CAPITOLO","2018-11","2018-12","1","1","33","a","n","n","a","0","0"
"24","2","12","BNI - PALIO","192","CAPITOLO","2018-11","2018-12","1","1","24","a","n","n","a","0","0"
"25","2","13","BNI - SEMPIONE","193","CAPITOLO","2018-11","2018-12","1","1","26","a","n","n","a","0","0"
"26","2","14","BNI - VILLA LITTA","8","CAPITOLO","2018-11","2018-12","1","1","28","a","n","n","a","0","0"
"27","2","15","BNI - VILLORESI","8","CAPITOLO","2018-11","2018-12","1","1","29","a","n","n","a","0","0"
"28","2","16","BNI - TAAAC","194","CAPITOLO","2018-11","2019-11","1","1","3","a","n","n","a","26","26"
"29","2","17","BNI - CORNIOLO","204","CAPITOLO","2018-11","2019-04","1","1","15","a","n","n","a","38","38"
"30","2","18","BNI - R-EVOLUTION","198","CAPITOLO","2018-11","2019-12","1","1","4","a","n","n","a","28","28"
"31","2","19","BNI - SFORZESCO","206","CORE GROUP","2018-11",,"1","0","9","a","n","n","a","0","0"
"32","2","20","BNI - CITY LIFE","199","CAPITOLO","2019-04","2020-03","1","1","0","a","n","n","a","0","0"
"33","4","1","BNI - DE AMICIS","11","CAPITOLO","2018-11","2018-12","1","1","30","a","p","n","a","0","0"
